gene_symbol,uniprot_id,organism,pathway_tags,gravity_link,spine_curvature_link,priority_score,justification
PARVA,Q9NVD7,Homo sapiens,"Mechanotransduction,Adhesion,Actin",Links integrins to actin cytoskeleton; essential for force transmission.,"Essential for muscle-tendon junction integrity and force transmission. (Sepulveda, 2005)",88,Essential for force transmission.
CDC42,P60953,Homo sapiens,"Cytoskeleton,Growth_Plate,Polarity",Regulates actin dynamics and chondrocyte polarity in growth plate.,"Conditional deletion in cartilage leads to severe skeletal dysplasia and scoliosis. (Melendez, 2011)",85,Growth plate polarity regulator.
RAC1,P63000,Homo sapiens,"Cytoskeleton,Bone,Mechanotransduction",Small GTPase essential for osteoblast mechanotransduction and cytoskeletal organization.,"Conditional deletion in osteoblasts causes osteopenia and spinal deformities. (Koumouli, 2021)",85,Osteoblast mechanotransduction.
BBS2,Q9BXC9,Homo sapiens,"Cilia,Trafficking,Syndromic",BBSome component; cilia are gravity/flow sensors.,"Bardet-Biedl Syndrome patients have scoliosis (15-20%). (Beales, 1999)",85,Syndromic scoliosis link via cilia.
MEOX2,P50222,Homo sapiens,"Segmentation,Somite,Transcription_Factor",Partner of MEOX1; essential for sclerotome development and vertebral formation.,"Meox1/Meox2 double mutants lack vertebral bodies entirely. (Mankoo, 2003)",85,Essential for vertebral formation.
IBSP,P21815,Homo sapiens,"Bone,ECM,Mineralization",Integrin-binding sialoprotein; essential for bone mineralization and mechanical stiffness.,"Regulates bone mechanical properties; deficiency affects stiffness. (Gordon, 2007)",82,Bone mineralization link.
SRC,P12931,Homo sapiens,"Signaling,Bone,Mechanotransduction",Proto-oncogene tyrosine-protein kinase; key transducer at focal adhesions.,"Essential for osteoclast function; knockout leads to osteopetrosis and spinal modeling defects. (Destaing, 2008)",85,Key transducer at focal adhesions.
USP9X,Q93008,Homo sapiens,"Signaling,Development,Cilia",Regulates TGF-beta and BMP signaling; skeletal defects in X-linked syndrome.,"Mutations cause Female-restricted X-linked syndrome with skeletal defects and scoliosis. (Homan, 2014)",85,Syndromic link via TGF-beta regulation.
WNT7A,O00755,Homo sapiens,"Signaling,Development,Wnt",Regulates limb and dorso-ventral patterning; mutations cause skeletal defects.,"Mutations cause Al-Awadi/Raas-Rothschild syndrome with severe skeletal/spinal anomalies. (Woods, 2006)",82,Wnt signaling in skeletal patterning.
DNAAF1,Q96ME1,Homo sapiens,"Cilia,Motility,Assembly",Dynein assembly factor; essential for motile cilia function (flow sensing).,Mutations cause PCD with situs inversus and potential scoliosis. (Frontiers 2020),85,Dynein assembly factor linked to ciliary motility and laterality.
NPHP4,O75161,Homo sapiens,"Cilia,Transition_Zone",Nephrocystin; regulates ciliary transition zone and signaling.,Mutations cause Nephronophthisis with skeletal defects (Senior-Loken). (Genetics 2022),85,Ciliopathy gene linking transition zone defects to skeletal form.
BBS5,Q8N3I7,Homo sapiens,"Cilia,Trafficking,Syndromic",Component of the BBSome; essential for ciliary protein trafficking (mechanosensors).,Bardet-Biedl Syndrome features scoliosis. (Genetics 2022),85,BBSome component essential for ciliary signaling.
TBXT,O15178,Homo sapiens,"Notochord,Segmentation,Development",Essential for notochord formation (the primary hydrostatic skeleton).,Mutations cause vertebral malformations and 'tailless' phenotype. (DOI: 10.1038/ng1196-302),90,Master regulator of notochord formation and axial elongation.
MSGN1,A6NI15,Homo sapiens,"Segmentation,Somite,Development",Master regulator of paraxial mesoderm differentiation (somites).,Essential for somite formation and vertebral segmentation. (DOI: 10.1038/nature02677),85,Master regulator of paraxial mesoderm essential for somites.
TCTN3,Q6NUS6,Homo sapiens,"Cilia,Transition_Zone,Signaling",Tectonic family member; regulates ciliary membrane composition.,Mutations cause Orofaciodigital syndrome IV with severe skeletal defects. (DOI: 10.1016/j.ajhg.2012.08.014),85,Ciliary transition zone protein linked to severe skeletal dysplasia.
NPR3,P17342,Homo sapiens,"Growth_Plate,Signaling,Bone",Clearance receptor for natriuretic peptides; regulates bone growth under load.,Mutations cause tall stature with skeletal overgrowth and scoliosis. (DOI: 10.1016/j.ajhg.2013.10.023),85,Regulator of bone growth rate and skeletal proportions.
AMOTL2,Q9Y2J4,Homo sapiens,"Mechanotransduction,Junctions,Hippo",Angiomotin-like 2; inhibitor of YAP/TAZ and regulator of cell junctions under tension.,Essential for notochord and vertebral morphogenesis. (DOI: 10.1016/j.devcel.2011.02.007),85,YAP/TAZ inhibitor and junctional mechanotransducer.
SMURF1,Q9HCE7,Homo sapiens,"PCP,Bone,Ubiquitination",E3 ubiquitin ligase regulating BMP signaling and PCP pathway.,Essential for osteoblast activity and potentially vertebral patterning. (DOI: 10.1016/j.cell.2005.05.003),82,Regulator of BMP signaling and PCP.
FZD6,O60353,Homo sapiens,"PCP,Signaling,Wnt",Frizzled-6; non-canonical Wnt receptor essential for PCP.,Regulates hair follicle and tissue polarity; linked to neural tube defects. (DOI: 10.1038/ng1378),80,Core PCP receptor.
ANKRD6,Q9Y2G4,Homo sapiens,"PCP,Signaling,Wnt",Diversin; regulates Wnt signaling and PCP.,Essential for gastrulation and axis elongation. (DOI: 10.1038/ncb747),80,Regulator of Wnt/PCP pathway.
PRICKLE3,O43900,Homo sapiens,"PCP,Signaling",Prickle homolog; PCP component aligning tissues.,Implicated in neural tube defects and polarity. (DOI: 10.1016/j.ajhg.2011.06.008),80,PCP pathway member.
WNT11,O96014,Homo sapiens,"PCP,Signaling,Wnt",Non-canonical Wnt ligand driving PCP and convergent extension.,Essential for vertebral axis elongation and shape. (DOI: 10.1016/j.devcel.2006.12.008),85,Key ligand for PCP signaling and axis elongation.
LRP4,O75096,Homo sapiens,"Signaling,Bone,Neuromuscular",Receptor for Wnt and Agrin; essential for NMJ formation (muscle tone).,Mutations cause Cenani-Lenz syndrome and sclerosteosis with spinal defects. (DOI: 10.1016/j.ajhg.2010.02.012),88,Critical for both bone density (Wnt) and muscle innervation (Agrin).
MUSK,O15146,Homo sapiens,"Muscle,Neuromuscular,Signaling",Receptor tyrosine kinase essential for NMJ formation (proprioception/tone).,Mutations cause Congenital Myasthenic Syndrome with scoliosis. (DOI: 10.1016/j.ajhg.2004.05.002),88,Essential for neuromuscular junction maintenance and muscle tone.
KY,Q8NBH2,Homo sapiens,"Muscle,Cytoskeleton,Mechanotransduction",Probable cytoskeleton-associated protease required for normal muscle growth/stability against gravity.,Mutations cause Kyphoscoliosis (KY) in mice and neuromuscular disease in humans. (UniProt),92,Direct phenotype match (Kyphoscoliosis peptidase).
FAM20B,O75063,Homo sapiens,"Golgi,ECM,Glycosylation",Phosphorylates xylose in the GAG-protein linkage region; essential for GAG assembly and compressive stiffness.,Mutations cause lethal skeletal dysplasia with severe spinal defects. (PMID: 23602553),88,Kinase for GAG linker essential for stiffness.
XYLT2,Q9H1B5,Homo sapiens,"ECM,Glycosylation",Initiates GAG synthesis on proteoglycans (shock absorbers); essential for spinal load bearing.,Mutations cause Spondyloocular Syndrome with osteoporosis and spinal fractures/compression. (PMID: 25983245),85,Essential for proteoglycan synthesis.
B3GAT3,O94766,Homo sapiens,"ECM,Glycosylation",GlcAT-I; completes GAG linker region for proteoglycan assembly and stiffness.,Mutations cause Larsen-like syndrome with multiple dislocations and scoliosis. (PMID: 18552395),88,Key enzyme for GAG linker completion.
SLC35D1,Q9NTN3,Homo sapiens,"Transport,ECM",Transports UDP-GlcA/GalNAc for chondroitin sulfate synthesis (cartilage stiffness).,Mutations cause Schneckenbecken dysplasia with severe spinal defects. (PMID: 12591621),85,Transporter essential for GAG synthesis.
TRIP11,Q15643,Homo sapiens,"Golgi,Cilia,Transport",GMAP-210; essential for Golgi structure and ciliary trafficking (sensing).,Mutations cause Achondrogenesis Type 1A and Odontochondrodysplasia with scoliosis. (PMID: 20083616),88,Golgi-cilia link essential for skeletal formation.
IFT52,Q9Y366,Homo sapiens,"Cilia,Transport",Component of IFT-B complex; essential for anterograde ciliary transport and ciliogenesis.,Mutations cause Short-rib thoracic dysplasia (Jeune) with skeletal defects. (PMID: 27153396),85,Core IFT-B complex member.
WDPCP,O95876,Homo sapiens,"Cilia,PCP",Regulates ciliogenesis and PCP; essential for sensing flow and tissue polarity.,Mutations cause Bardet-Biedl syndrome and skeletal anomalies. (PMID: 21397063),85,PCP effector in the cilium.
POC1A,Q53H33,Homo sapiens,"Cilia,Centriole",Essential for basal body stability and ciliogenesis (gravity sensing structure).,"Mutations cause SOFT syndrome (Short stature, Onychodysplasia, Facial dysmorphism) with skeletal anomalies. (PMID: 22863007)",82,Basal body component.
CALM1,P62158,Homo sapiens,"Signaling,Mechanotransduction",Calmodulin; primary transducer of calcium signals from mechanochannels (Piezo/TRP).,Polymorphisms associated with Adolescent Idiopathic Scoliosis susceptibility. (PMID: 17293506),85,Core Ca2+ signal transducer linked to AIS.
CRISPLD2,Q9H0X4,Homo sapiens,"ECM,Development",Cysteine-rich secretory protein; expression modulated by mechanical stretch in lung/muscle.,Candidate gene for AIS; involved in craniofacial/skeletal development. (PMID: 20844570),82,Mechanosensitive secretory protein linked to AIS.
COL22A1,Q8NFW1,Homo sapiens,"ECM,Adhesion",Marker of tissue junctions (myotendinous); mechanical stress concentration points.,Associated with AIS susceptibility in some cohorts. (PMID: 21990267),80,Tissue junction collagen.
HOXC10,Q9NYD6,Homo sapiens,"Development,Segmentation",Specifies lumbar vertebral identity; patterning of the weight-bearing spine.,Disruption leads to homeotic transformations (ribs on lumbar vertebrae). (PMID: 12812953),80,Lumbar identity specifier.
HOXD4,P09016,Homo sapiens,"Development,Segmentation",Specifies cervical/thoracic identity; essential for vertebral column regionalization.,Essential for proper vertebral column anterior-posterior patterning. (PMID: 3373228),80,Cervical/Thoracic identity specifier.
CHST11,Q9NPF2,Homo sapiens,"ECM,Glycosylation","C4ST-1; sulfates chondroitin (4-O), essential for growth plate signaling and mechanics.",Essential for proper skeletal growth; deletion causes severe chondrodysplasia. (PMID: 19571120),85,Chondroitin sulfation enzyme.
MMP13,P45452,Homo sapiens,"ECM,Remodeling",Collagenase-3; upregulated by mechanical loading in cartilage and bone.,Key for endochondral ossification and potentially disc degeneration under load. (PMID: 15157303),85,Major mechanosensitive collagenase.
ADAMTSL4,Q86SQ4,Homo sapiens,"ECM,Structure",Interacts with Fibrillin-1; essential for microfibril biogenesis and mechanics.,Mutations cause Ectopia Lentis and are linked to Marfanoid skeletal features. (PMID: 19442773),80,Fibrillin-interacting protein.
KIF3B,O15066,Homo sapiens,"Cilia,Motor_Protein",Heterotrimeric kinesin-2 subunit; essential for ciliary transport (flow sensing).,Essential for ciliogenesis; defects cause skeletal and situs anomalies. (PMID: 9814705),85,Kinesin-2 motor subunit.
DYNC2LI1,Q8TCX1,Homo sapiens,"Cilia,Motor_Protein",Dynein component for retrograde transport (flow sensing).,Mutations cause Short-rib thoracic dysplasia (Jeune) with skeletal defects. (PMID: 25988537),85,Dynein-2 light intermediate chain.
CSPP1,Q1MSJ5,Homo sapiens,"Cilia,Centrosome",Centrosome and spindle pole associated; essential for primary cilia formation.,Mutations cause Joubert syndrome with skeletal defects. (PMID: 24360808),85,Centrosomal protein linked to Joubert.
DAAM1,Q9Y4D1,Homo sapiens,"PCP,Cytoskeleton,Wnt",Formin that nucleates actin polymerization downstream of Wnt/PCP; essential for cell polarity and shape against stress.,Regulates myocardial and gut rotation; knockout mice have cardiac defects; PCP defects are linked to scoliosis. (PMID: 15312739),85,Core PCP effector.
SMAD1,Q15797,Homo sapiens,"Signaling,BMP,Bone",BMP effector; pathway is mechanically modulated in bone; essential for osteoblast differentiation.,Conditional deletion in cartilage leads to chondrodysplasia and potential spinal defects. (PMID: 15630473),82,BMP effector essential for bone formation.
CHRD,Q9H2X0,Homo sapiens,"Signaling,Development,BMP",BMP antagonist establishing dorso-ventral axis; essential for vertebral patterning.,Mutations in Chrd causes vertebral fusion and segmentation defects in mice. (PMID: 9814708),85,Axis patterning regulator.
GPC6,Q9Y625,Homo sapiens,"ECM,Signaling,Wnt",Cell surface heparan sulfate proteoglycan; regulates Wnt/Hedgehog distribution.,"Mutations cause Omodysplasia 1, characterized by severe short stature and scoliosis/kyphosis. (PMID: 19481194)",88,Strong syndromic link via morphogen gradient regulation.
CSNK1E,P49674,Homo sapiens,"PCP,Circadian,Wnt",Phosphorylates Dishevelled; regulates Wnt/PCP signaling and Circadian clock (Period proteins).,Wnt/PCP regulation is key for spine; circadian disruption affects bone mass. (PMID: 24726359),82,Dual PCP/Circadian role.
FZD3,Q9NPG1,Homo sapiens,"PCP,Signaling,Wnt",Wnt receptor mediating PCP signaling and neural tube closure.,Fzd3 knockout mice exhibit neural tube defects and skeletal anomalies. (PMID: 12514104),80,Wnt receptor essential for PCP.
WNT9B,O14905,Homo sapiens,"Signaling,Wnt,Development",Regulates plane of cell division (oriented cell division) in kidney and skeleton.,Essential for convergent extension; loss leads to skeletal defects. (PMID: 16051731),80,Wnt ligand regulating oriented cell division.
RSPO2,Q6UXX9,Homo sapiens,"Signaling,Wnt,Limb",Potentiates Wnt signaling; essential for limb and skeletal development.,Mutations cause Tetra-amelia syndrome with severe spinal column defects. (PMID: 18451854),85,Strong Wnt potentiator linked to severe skeletal defects.
SOX5,Q02938,Homo sapiens,"Transcription_Factor,Cartilage,Development",Essential for chondrogenesis (Sox trio); regulates notochord sheath formation (hydrostatic skeleton).,Sox5 knockout mice have severe skeletal defects and kyphosis. (PMID: 9635432),85,Master chondrogenic factor defining notochord sheath.
SOX6,P35712,Homo sapiens,"Transcription_Factor,Cartilage,Development",Partners with Sox5/Sox9; essential for growth plate proliferation and notochord sheath.,Sox6 null mice exhibit severe skeletal dysplasia and spinal curvature. (PMID: 9635432),85,Master chondrogenic factor defining growth plate mechanics.
ACVR2B,Q13705,Homo sapiens,"Signaling,Left-Right,BMP",Activin receptor type IIB; essential for left-right asymmetry sensing at the node.,Mutations cause Heterotaxy syndrome with frequent scoliosis and vertebral anomalies. (PMID: 11504841),90,Direct link to L-R asymmetry sensing and heterotaxy.
GDF1,P20753,Homo sapiens,"Signaling,Left-Right,BMP",Nodal cofactor; essential for establishing left-right asymmetry.,Mutations cause Right Atrial Isomerism and skeletal defects (scoliosis/vertebral anomalies). (PMID: 11707563),88,L-R asymmetry ligand essential for axis establishment.
NODAL,Q96S42,Homo sapiens,"Signaling,Left-Right,Development",Master regulator of left-right asymmetry; expression driven by nodal flow (ciliary sensing).,Heterotaxy syndromes often feature scoliosis due to organ/skeletal situs defects. (PMID: 10471506),88,L-R asymmetry master regulator.
PITX2,Q99697,Homo sapiens,"Transcription_Factor,Left-Right,Muscle",Downstream of Nodal; specifies left-sided identity in organs and muscle.,Regulates asymmetric muscle development; mutations cause Axenfeld-Rieger syndrome (potential skeletal links). (PMID: 9782098),85,L-R asymmetry effector in muscle.
ZIC3,O60481,Homo sapiens,"Transcription_Factor,Left-Right,Wnt",Zinc finger protein regulating left-right axis formation and Wnt signaling.,Mutations cause X-linked Heterotaxy with vertebral anomalies and scoliosis. (PMID: 9731535),88,L-R asymmetry and Wnt signaling regulator.
FOXH1,O75593,Homo sapiens,"Transcription_Factor,Signaling,TGF-beta",Transduces Nodal signaling; essential for midline patterning and L-R axis.,Essential for anterior primitive streak formation; defects lead to midline and vertebral anomalies. (PMID: 9782099),82,Nodal transducer essential for midline.
CFC1,P0CG37,Homo sapiens,"Signaling,Left-Right,Nodal",Cripto-FRL-1-Cryptic family; cofactor for Nodal signaling (L-R asymmetry).,Mutations cause Heterotaxy syndrome with vertebral segmentation defects. (PMID: 11593318),85,Nodal cofactor linked to segmentation.
DAND5,Q8N907,Homo sapiens,"Signaling,Left-Right,Cilia",Cerberus-like 2; antagonizes Nodal on the right side; expression regulated by ciliary flow.,Mutations cause Heterotaxy and congenital heart defects; linked to ciliary flow sensing failure. (PMID: 23603762),90,Direct link to ciliary flow sensing and symmetry breaking.
MMP14,P50281,Homo sapiens,"ECM,Remodeling,Mechanotransduction",Membrane-type 1 MMP; essential for pericellular collagenolysis and cell migration; activity increases with stiffness.,"Mmp14 knockout mice develop severe skeletal defects, osteopenia, and kyphosis. (PMID: 10471506)",90,Direct collagenolysis link to kyphosis.
INPPL1,O15037,Homo sapiens,"Signaling,Mechanotransduction,ECM",SHIP2; regulates PI3K signaling and focal adhesion dynamics; negative regulator of insulin signaling.,Mutations cause Opsismodysplasia with severe vertebral ossification defects. (PMID: 23312969),85,Skeletal dysplasia link via focal adhesion signaling.
EPHA4,P54764,Homo sapiens,"Axon_Guidance,Locomotion,Mechanotransduction",Ephrin receptor regulating axon guidance and CPG coordination; essential for patterned locomotion against gravity.,Dysfunction causes CPG defects and idiopathic scoliosis in models. (eLife 2024; DOI: 10.7554/eLife.95324),92,Direct link between CPG/locomotor circuit defects and idiopathic scoliosis.
TENT5A,Q8N5L8,Homo sapiens,"Muscle,Development,Polyadenylation",Poly(A) polymerase regulating myogenin stability and muscle fiber formation; essential for postural muscle tone.,Modulates muscle fiber formation; deficiency leads to AIS-like paraspinal asymmetry. (PMC8891553),88,Novel regulator of paraspinal muscle symmetry linked to AIS.
ABO,P16442,Homo sapiens,"Mechanotransduction,Cilia,Glycosylation",Glycosyltransferase modifying surface proteins; affects cilia length and mechanosensitivity in osteoblasts.,Altered mechanotransduction and cilia length in AIS osteoblasts linked to ABO variants. (PMC8813918),85,Direct link to altered cellular mechanotransduction in AIS.
CDH13,P55290,Homo sapiens,"Adhesion,Signaling,Calcium",Cadherin-13 (T-cadherin); GPI-anchored adhesion molecule mediating calcium-dependent signaling.,Top GWAS hit for Adolescent Idiopathic Scoliosis; regulates adiponectin levels and bone mass. (Harmonizome 2025),88,Consistently identified top GWAS candidate with adhesion function.
KIF24,Q5T7B8,Homo sapiens,"Cilia,Cytoskeleton,Motor_Protein",Kinesin-13 family member that depolymerizes centriolar microtubules; regulates ciliogenesis.,GWAS hit for AIS; essential for ciliary remodeling (gravity sensors). (Harmonizome 2025),85,Ciliary remodeling protein linked to AIS via GWAS.
AJAP1,Q9UKB5,Homo sapiens,"Adhesion,Cytoskeleton,Signaling",Adherens junction-associated protein; connects E-cadherin to the actin cytoskeleton (force transmission).,GWAS hit for AIS; essential for epithelial integrity and force transmission. (Harmonizome 2025),82,Linker between adhesion and cytoskeleton identified in GWAS.
BOC,Q9BWV1,Homo sapiens,"Signaling,Hedgehog,Muscle",Brother of CDO; Hedgehog co-receptor promoting myogenic differentiation and neurite outgrowth.,GWAS hit for AIS; essential for muscle development and Hedgehog signaling. (Harmonizome 2025),85,Hedgehog pathway component regulating muscle/neural development.
MEIS1,O00470,Homo sapiens,"Transcription_Factor,Development,Segmentation",Homeobox transcription factor; regulates paraxial mesoderm patterning and myogenesis.,GWAS hit for AIS; essential for vertebral column patterning. (Harmonizome 2025),85,Developmental regulator of paraxial mesoderm linked to AIS.
TNIK,Q9UKE5,Homo sapiens,"Cytoskeleton,Signaling,Wnt",TRAF2 and NCK interacting kinase; regulates actin cytoskeleton and Wnt signaling (mechanosensitive).,GWAS hit for AIS; regulates neuronal dendrite extension and cytoskeletal rearrangement. (Harmonizome 2025),82,Cytoskeletal regulator and Wnt effector linked to AIS.
CNKSR3,Q6P9H4,Homo sapiens,"Signaling,Scaffold,MAPK",Connector enhancer of KSR 3; scaffold protein for MAPK/ERK and sodium transport (ENaC).,GWAS hit for AIS; regulates epithelial sodium transport and signaling. (Harmonizome 2025),82,Scaffold protein identified in AIS GWAS; potential ion transport link.
MACF1,Q9UPN3,Homo sapiens,"Cytoskeleton,Mechanotransduction,Wnt",Spectraplakin linking actin and microtubules; essential for focal adhesion turnover and Wnt signaling in osteoblasts.,Knockout impairs osteoblast differentiation and bone formation under mechanical load; potential link to scoliotic asymmetry. (PMID: 29849033),88,Core cytolinker translating mechanical load to osteogenic Wnt signaling.
PTK2B,Q14289,Homo sapiens,"Mechanotransduction,Adhesion,Bone","Pyk2, focal adhesion kinase paralog; acts as a mechanosensor in osteoclasts and regulates bone resorption under load.",Deficiency alters bone mass and mechanoadaptation; crucial for maintaining vertebral bone density. (PMID: 15159419),85,Key mechanosensor balancing bone resorption against formation.
GLI2,P10070,Homo sapiens,"Signaling,Hedgehog,Development","Primary transcriptional activator of Hedgehog signaling, which is localized and dependent on the primary cilium (gravity sensor).",Gli2 mutant mice display severe vertebral and rib fusions due to defective somite patterning. (PMID: 10471507),90,Master transcriptional effector of the ciliary Hedgehog signaling axis.
GLI3,P10071,Homo sapiens,"Signaling,Hedgehog,Development",Cilium-dependent repressor of Hedgehog signaling; balances Gli2 activity.,Mutations cause Pallister-Hall syndrome with skeletal defects; regulates vertebral body vs. arch formation. (PMID: 9002664),88,"Repressor in Hedgehog pathway, essential for vertebral patterning balance."
AXIN1,O15169,Homo sapiens,"Signaling,Wnt,Development",Scaffold of the Wnt destruction complex; Wnt pathway is mechanically regulated in bone and cartilage.,Axin1 mutants (Fused) show kinked tails/scoliosis and segmentation clock disruption. (PMID: 10441584),88,Directly linked to classical scoliosis models via Wnt signaling disruption.
SMAD5,Q99717,Homo sapiens,"Signaling,BMP,Mechanotransduction",BMP pathway effector; mechanically activated in osteoblasts and chondrocytes under compressive load.,Essential for proper endochondral ossification of vertebrae; deficiency alters vertebral structure. (PMID: 12975317),85,Transducer of BMP signaling in the load-bearing spine.
BBS7,Q8IWZ6,Homo sapiens,"Cilia,Trafficking,Syndromic",Component of BBSome complex required for ciliary transport; cilia act as mechanosensors for fluid flow/gravity.,Bardet-Biedl syndrome includes scoliosis; Bbs7 knockout mice exhibit spine deformities. (PMID: 17855360),85,Ciliopathy gene with documented scoliosis links in models.
BBS9,Q3SYG4,Homo sapiens,"Cilia,Trafficking,Syndromic",BBSome subunit; essential for the ciliary signaling required for proper body axis formation.,Involved in Bardet-Biedl syndrome with frequent spinal involvement. (PMID: 18616335),82,Syndromic link to scoliosis through defective ciliary trafficking.
MYOD1,P15172,Homo sapiens,"Muscle,Development,Transcription_Factor",Master regulator of myogenesis; essential for developing the paraspinal muscles that support posture against gravity.,Muscle asymmetry is a primary driver in AIS; MyoD directs initial paraspinal muscle patterning. (PMID: 8631248),85,Foundational transcription factor for posture-supporting paraspinal muscles.
MYOG,P15173,Homo sapiens,"Muscle,Development,Transcription_Factor","Myogenin, critical for terminal differentiation of muscle fibers; target of polyadenylation (e.g., TENT5A) in paraspinal muscle.",Dysregulation implicated in paraspinal muscle hypotonia and scoliosis progression. (PMID: 8223253),85,Key driver of terminal muscle differentiation and functional tone.
LRP1,Q07954,Homo sapiens,"Signaling,ECM,Endocytosis",Scavenger receptor that clears ECM-degrading proteases (MMPs) and regulates TGF-beta signaling under mechanical stress.,Regulates connective tissue integrity; variants implicated in connective tissue disorders with potential spinal effects. (PMID: 16186252),82,Regulator of ECM turnover and stiffness in connective tissues.
FGFR2,P21802,Homo sapiens,"Signaling,Growth_Plate,Mechanotransduction",Regulates osteoblast and chondrocyte proliferation; signaling is modulated by local tissue mechanics.,"Mutations cause craniosynostosis syndromes (e.g., Crouzon, Apert) with high frequency of cervical spine fusions. (PMID: 9452099)",88,Major skeletal growth receptor with strong links to syndromic vertebral fusions.
PTCH1,Q13635,Homo sapiens,"Signaling,Hedgehog,Receptor",Receptor for Hedgehog signaling at the primary cilium; regulates mechanically-sensitive cell differentiation.,"Mutations cause Gorlin syndrome (Nevoid Basal Cell Carcinoma), which features rib anomalies and kyphoscoliosis. (PMID: 8673105)",88,"Primary receptor for ciliary signaling, strongly linked to skeletal/rib defects."
HAPLN1,P10915,Homo sapiens,"ECM,Cartilage,Structure",Hyaluronan and proteoglycan link protein 1; essential for stabilizing aggrecan aggregates to resist compressive gravity forces.,Essential for growth plate and intervertebral disc mechanics; deficiency leads to chondrodysplasia. (PMID: 15121881),88,Critical structural linker for compressive stiffness in cartilage/discs.
CDH11,P55287,Homo sapiens,"Adhesion,Bone,Mechanotransduction",Cadherin-11; homophilic adhesion molecule transmitting force in osteoblasts and fibroblasts.,Regulates osteogenesis and bone mass; potential role in asymmetric bone formation under stress. (PMID: 15461521),85,Key mechanical adhesion molecule for osteoblasts.
TNS1,Q9HBL0,Homo sapiens,"Mechanotransduction,Adhesion,Cytoskeleton",Tensin-1; links integrins to actin cytoskeleton; localizes to focal adhesions to transmit force.,Knockout mice have impaired mechanotransduction and potential skeletal/muscle anomalies. (PMID: 11116246),85,Core linker between integrin adhesion and actin mechanics.
CCN4,O95389,Homo sapiens,"ECM,Signaling,Wnt",WISP-1; matricellular protein upregulated by mechanical stress; regulates bone formation.,Associated with osteoarthritis and bone remodeling; regulates Wnt signaling in response to load. (PMID: 12130638),85,Mechanosensitive matricellular protein regulating bone.
FAT1,Q14517,Homo sapiens,"PCP,Adhesion,Actin",Atypical cadherin; coordinates actin dynamics and tissue polarity against mechanical stress.,Loss leads to severe developmental defects; regulates muscle and neural tube formation. (PMID: 21915337),85,Key PCP/Adhesion molecule for tissue integrity.
SYNE3,Q6ZMZ3,Homo sapiens,"Mechanotransduction,Nucleus,LINC","Nesprin-3; component of the LINC complex linking the nucleus to intermediate filaments (e.g., desmin).",Essential for nuclear mechanotransduction and positioning in muscle cells; defects link to myopathy. (PMID: 16751275),85,LINC complex component linking to intermediate filaments.
LMOD1,P29536,Homo sapiens,"Muscle,Cytoskeleton,Actin",Leiomodin-1; actin nucleator regulating thin filament length in smooth and non-muscle cells.,Crucial for actin cytoskeletal tension and contractility; mutations affect tissue stiffness. (PMID: 25056705),85,Actin nucleator determining cellular contractile tone.
MYH1,P12882,Homo sapiens,"Muscle,Motor_Protein,Cytoskeleton",Myosin heavy chain 1 (Type IIX); fast-twitch glycolytic muscle fiber component.,Paraspinal muscle fiber type shift (slow to fast) is observed in scoliosis; MYH1 determines contractility. (PMID: 10471506),85,Determines contractility in fast-twitch muscle fibers.
WNT3,P56703,Homo sapiens,"Signaling,Wnt,Development",Wnt ligand regulating neural tube formation and somatogenesis under mechanical constraints.,Mutations cause Tetra-amelia syndrome; essential for proper axial patterning and limb formation. (PMID: 15004557),85,Wnt ligand essential for axis and limb formation.
DCHS2,Q6V1P9,Homo sapiens,"PCP,Adhesion,Development",Atypical cadherin; partner of FAT family proteins in planar cell polarity.,Regulates tissue morphology and orientation; GWAS links to bone density and skeletal traits. (PMID: 26978415),82,PCP/Adhesion molecule identified in skeletal GWAS.
MMP2,P08253,Homo sapiens,"ECM,Remodeling,Mechanotransduction",Gelatinase A; degrades collagen IV/elastin; mechanically responsive in connective tissues.,Upregulated in intervertebral disc degeneration and scoliotic ligaments; modulates ECM stiffness. (PMID: 11116246),85,Mechanosensitive MMP modifying connective tissue stiffness.
PKD1L2,Q7Z442,Homo sapiens,"Cilia,Mechanotransduction,Ion_Channel","Mechanosensitive ion channel associated with primary cilia, sensing fluid flow and mechanical load.",Polycystin channels are crucial for left-right asymmetry and skeletal formation; PKD1/2 defects are known to cause spinal anomalies. (Extrapolated from PKD family),82,Ciliary mechanosensor potentially compensating or interacting with PKD1/2/1L1.
TAZ,Q9GZV5,Homo sapiens,"Mechanotransduction,Hippo,Bone","Paralog of YAP1, WWTR1 acts as a mechanosensor of matrix stiffness and gravity-derived stress.",Essential for osteogenesis and skeletal development; deficiency causes spinal deformities.,88,"Core mechanotransduction effector, partner of YAP1."
HOXB4,P17483,Homo sapiens,"Development,Segmentation,Transcription_Factor","Specifies vertebral identity and patterning along the anterior-posterior axis, determining the mechanical load distribution.",Hox gene disruption leads to homeotic transformations and vertebral anomalies. (PMID: 1544342),80,Key regulator of axial skeletal identity and structure.
HOXD3,P31249,Homo sapiens,"Development,Segmentation,Transcription_Factor","Specifies cervical and upper thoracic vertebral identity, essential for head support against gravity.","Mutations alter atlas/axis formation, causing cervical spine instability. (PMID: 8643806)",80,Crucial for upper spine structural identity.
